series_id,reference,percent_change_employment_previous,percent_change_imputed
CES3133590001,149.5,-0.026086956521739202,-0.03325630139194924
CES3133610001,243.1,-0.2192513368983957,-0.22407089051592977
CES3133620001,168,-0.04702380952380958,-0.051843363141343635
CES3133630001,587.7,-0.046282116726220957,-0.05110167034375501
CES3133641101,245.1,-0.05018359853121168,-0.05500315214874574
CES3133641201,91.2,-0.15021929824561409,-0.15503885186314814
CES3133641301,115.7,-0.07778738115816763,-0.08260693477570169
CES3132190001,233.6,-0.047945205479452024,-0.04380492296605698
CES3133990001,292.2,-0.07255304585900069,-0.07078711232231738
CES4142390001,295.2,-0.09857723577235766,-0.09907397591517042
CES4142420001,240.1,-0.02082465639316955,-0.015733847367302767
CES4142460001,148,-0.05135135135135127,-0.04626054232548449
CES4142490001,334.1,-0.0419036216701586,-0.036812812644291815
CES4142511001,34,0.002941176470588225,0.008384119413531121
CES4142512001,499.1,-0.06852334201562826,-0.06308039907268537
CES4244410001,1150.7,0.05805162075258541,0.06920261746838774
CES4245111001,276.3,-0.1404270720231633,-0.11932849072087148
CES4245112001,125.5,-0.1856573705179283,-0.1645587892156365
CES4348540001,212.2,-0.43261074458058435,-0.41076895001151703
CES4348550001,108.9,-0.27089072543618,-0.24904893086711266
CES4348590001,117.7,-0.24638912489379783,-0.2245473303247305
CES5051110001,283.7,-0.09904829044765595,-0.09424309564246103
CES5552212001,94.5,-0.012698412698412764,-0.013816918374829124
CES5552219001,298.4,-0.0160857908847184,-0.017204296561134758
CES5553110001,622,-0.053858520900321505,-0.049801378043178635
CES5553120001,371.4,-0.03527194399569189,-0.03121480113854902
CES5553220001,135.8,-0.18924889543446255,-0.17830498298576225
CES5553230001,36.2,-0.1353591160220995,-0.12441520357339919
CES5553240001,180.1,-0.1432537479178233,-0.132309835469123
CES6561120001,52.3,-0.0917782026768642,-0.07297188166341251
CES6561130001,1804.3,-0.07144044781909875,-0.05263412680564705
CES6561140001,81,-0.09629629629629621,-0.07748997528284451
CES6561150001,116.4,-0.1829896907216496,-0.1641833697081979
CES6561160001,487,-0.2562628336755647,-0.23745651266211298
CES6561170001,161.7,-0.05936920222634501,-0.04056288121289331
CES6562210001,4834,-0.024306992139015327,-0.02253926737186085
CES6562230001,278.2,-0.018332135154564888,-0.01656441038741041
CES7072120001,72.7,-0.13892709766162314,-0.13165784849854323
CES7072119901,24,0.15833333333333344,0.16560258249641335
CES8081110001,967.2,-0.07144334160463195,-0.054687212197987445
CES8081211301,120.3,-0.17040731504571904,-0.1592831932658596
CES8081219001,172.8,-0.20428240740740744,-0.193158285627548
