IND,naics,ces_code,led_code,formula_type,operator,series_id,recency,parent,parent_series_id
5790,"Part of 44, 45",42000000,44,formula,+,CES4200000001,0,NA,NA
5790,"Part of 44, 45",42441000,44,formula,-,CES4244100001,0,NA,NA
5790,"Part of 44, 45",42442000,44,formula,-,CES4244200001,0,NA,NA
5790,"Part of 44, 45",42443000,44,formula,-,CES4244300001,0,NA,NA
5790,"Part of 44, 45",42444000,44,formula,-,CES4244400001,0,NA,NA
5790,"Part of 44, 45",42445000,44,formula,-,CES4244500001,0,NA,NA
5790,"Part of 44, 45",42446000,44,formula,-,CES4244600001,0,NA,NA
5790,"Part of 44, 45",42447000,44,formula,-,CES4244700001,0,NA,NA
5790,"Part of 44, 45",42448000,44,formula,-,CES4244800001,0,NA,NA
5790,"Part of 44, 45",42451000,44,formula,-,CES4245100001,0,NA,NA
5790,"Part of 44, 45",42452000,44,formula,-,CES4245200001,0,NA,NA
5790,"Part of 44, 45",42453000,44,formula,-,CES4245300001,0,NA,NA
5790,"Part of 44, 45",42454000,44,formula,-,CES4245400001,0,NA,NA
6180,"4851, 4852, 4854, 4855, 4859",43485400,48,formula,+,CES4348540001,1,43485000,CES4348500001
6180,"4851, 4852, 4854, 4855, 4859",43485500,48,formula,+,CES4348550001,1,43485000,CES4348500001
6180,"4851, 4852, 4854, 4855, 4859",43485900,48,formula,+,CES4348590001,1,43485000,CES4348500001
0690,Part of 22,44220000,22,formula,+,CES4422000001,0,NA,NA
0690,Part of 22,44221100,22,formula,-,CES4422110001,1,44220000,CES4422000001
0690,Part of 22,44221200,22,formula,-,CES4422120001,1,44220000,CES4422000001
0690,Part of 22,44221300,22,formula,-,CES4422130001,1,44220000,CES4422000001
6480,5111 exc. 51111,50511100,51,formula,+,CES5051110001,1,50511000,CES5051100001
6480,5111 exc. 51111,50511110,51,formula,-,CES5051111001,1,50511000,CES5051100001
6690,517 exc. 517311,50517000,51,formula,+,CES5051700001,0,NA,NA
6690,517 exc. 517311,50517311,51,formula,-,CES5051731101,1,50517000,CES5051700001
6870,"521, 52211,52219",55521000,52,formula,+,CES5552100001,0,NA,NA
6870,"521, 52211,52219",55522110,52,formula,+,CES5552211001,0,NA,NA
6870,"521, 52211,52219",55522120,52,formula,+,CES5552212001,1,55522100,CES5552210001
6870,"521, 52211,52219",55522190,52,formula,+,CES5552219001,1,55522100,CES5552210001
6880,"52212, 52213",55521000,52,formula,+,CES5552100001,0,NA,NA
6880,"52212, 52213",55522110,52,formula,+,CES5552211001,0,NA,NA
6880,"52212, 52213",55522120,52,formula,+,CES5552212001,1,55522100,CES5552210001
6880,"52212, 52213",55522190,52,formula,+,CES5552219001,1,55522100,CES5552210001
6890,"5222, 5223",55522200,52,formula,+,CES5552220001,0,NA,NA
6890,"5222, 5223",55522300,52,formula,+,CES5552230001,0,NA,NA
7071,"5311, 5312",55531100,53,formula,+,CES5553110001,1,55531000,CES5553100001
7071,"5311, 5312",55531200,53,formula,+,CES5553120001,1,55531000,CES5553100001
7181,"53221, 532281, 532282, 532283, 532284, 532289, 5323",55532200,53,formula,+,CES5553220001,1,55532000,CES5553200001
7181,"53221, 532281, 532282, 532283, 532284, 532289, 5323",55532300,53,formula,+,CES5553230001,1,55532000,CES5553200001
7190,"5324, 533",55532400,53,formula,+,CES5553240001,1,55532000,CES5553200001
7190,"5324, 533",55533000,53,formula,+,CES5553300001,0,NA,NA
7490,5419 exc. 54194,60541900,54,formula,+,CES6054190001,0,NA,NA
7490,5419 exc. 54194,60541940,54,formula,-,CES6054194001,1,60541900,CES6054190001
7690,5617 exc. 56173,60561700,56,formula,+,CES6056170001,0,NA,NA
7690,5617 exc. 56173,60561730,56,formula,-,CES6056173001,1,60561700,CES6056170001
7780,"5611, 5612, 5619",60561100,56,formula,+,CES6056110001,0,NA,NA
7780,"5611, 5612, 5619",60561200,56,formula,+,CES6056120001,0,NA,NA
7780,"5611, 5612, 5619",60561900,56,formula,+,CES6056190001,0,NA,NA
7870,"6112, 6113",65611200,61,formula,+,CES6561120001,1,65610000,CES6561000001
7870,"6112, 6113",65611300,61,formula,+,CES6561130001,1,65610000,CES6561000001
7880,"6114, 6115",65611400,61,formula,+,CES6561140001,1,65610000,CES6561000001
7880,"6114, 6115",65611500,61,formula,+,CES6561150001,1,65610000,CES6561000001
7890,"6116, 6117",65611600,61,formula,+,CES6561160001,1,65610000,CES6561000001
7890,"6116, 6117",65611700,61,formula,+,CES6561170001,1,65610000,CES6561000001
8080,"6213 exc. 62131, 62132",65621300,62,formula,+,CES6562130001,0,NA,NA
8080,"6213 exc. 62131, 62132",65621310,62,formula,-,CES6562131001,1,65621300,CES6562130001
8080,"6213 exc. 62131, 62132",65621320,62,formula,-,CES6562132001,1,65621300,CES6562130001
8180,"6215, 6219",65621500,62,formula,+,CES6562150001,0,NA,NA
8180,"6215, 6219",65621900,62,formula,+,CES6562190001,0,NA,NA
8191,"6221, 6223",65622100,62,formula,+,CES6562210001,1,65622000,CES6562200001
8191,"6221, 6223",65622300,62,formula,+,CES6562230001,1,65622000,CES6562200001
8290,"6232, 6233, 6239",65623200,62,formula,+,CES6562320001,0,NA,NA
8290,"6232, 6233, 6239",65623300,62,formula,+,CES6562330001,0,NA,NA
8290,"6232, 6233, 6239",65623900,62,formula,+,CES6562390001,0,NA,NA
8590,713 exc. 71395,70713000,71,formula,+,CES7071300001,0,NA,NA
8590,713 exc. 71395,70713950,71,formula,-,CES7071395001,1,70713000,CES7071300001
8670,"7212, 7213",70721200,72,formula,+,CES7072120001,1,70721000,CES7072100001
8670,"7212, 7213",70721199,72,formula,+,CES7072119901,1,70721000,CES7072100001
8680,722 exc. 7224,70722000,72,formula,+,CES7072200001,0,NA,NA
8680,722 exc. 7224,70722400,72,formula,-,CES7072240001,1,70722000,CES7072200001
8770,8111 exc. 811192,80811100,81,formula,+,CES8081110001,1,80811000,CES8081100001
8770,8111 exc. 811192,80811192,81,formula,-,CES8081119201,1,80811000,CES8081100001
8990,"812113, 81219",80812113,81,formula,+,CES8081211301,1,80812000,CES8081200001
8990,"812113, 81219",80812190,81,formula,+,CES8081219001,1,80812000,CES8081200001
9160,8131,80813000,81,formula,+,CES8081300001,0,NA,NA
9160,8131,80813200,81,formula,-,CES8081320001,1,80813000,CES8081300001
9160,8131,80813300,81,formula,-,CES8081330001,1,80813000,CES8081300001
9160,8131,80813400,81,formula,-,CES8081340001,1,80813000,CES8081300001
9160,8131,80813900,81,formula,-,CES8081390001,1,80813000,CES8081300001
9170,"8132, 8133, 8134",80813200,81,formula,+,CES8081320001,1,80813000,CES8081300001
9170,"8132, 8133, 8134",80813300,81,formula,+,CES8081330001,1,80813000,CES8081300001
9170,"8132, 8133, 8134",80813400,81,formula,+,CES8081340001,1,80813000,CES8081300001
9190,8139 exc. 81393,80813900,81,formula,+,CES8081390001,1,80813000,CES8081300001
9190,8139 exc. 81393,80813930,81,formula,-,CES8081393001,1,80813000,CES8081300001
9290,814,80000000,81,formula,+,CES8000000001,0,NA,NA
9290,814,80811000,81,formula,-,CES8081100001,0,NA,NA
9290,814,80812000,81,formula,-,CES8081200001,0,NA,NA
9290,814,80813000,81,formula,-,CES8081300001,0,NA,NA
9370,"92111, 92112, 92114, pt. 92115",90000000,92,formula,+,CES9000000001,0,NA,NA
9370,"92111, 92112, 92114, pt. 92115",90919110,92,formula,-,CES9091911001,1,90910000,CES9091000001
9370,"92111, 92112, 92114, pt. 92115",90919120,92,formula,-,CES9091912001,0,NA,NA
9380,92113,90000000,92,formula,+,CES9000000001,0,NA,NA
9380,92113,90919110,92,formula,-,CES9091911001,1,90910000,CES9091000001
9380,92113,90919120,92,formula,-,CES9091912001,0,NA,NA
9390,92119,90000000,92,formula,+,CES9000000001,0,NA,NA
9390,92119,90919110,92,formula,-,CES9091911001,1,90910000,CES9091000001
9390,92119,90919120,92,formula,-,CES9091912001,0,NA,NA
9470,"922, pt. 92115",90000000,92,formula,+,CES9000000001,0,NA,NA
9470,"922, pt. 92115",90919110,92,formula,-,CES9091911001,1,90910000,CES9091000001
9470,"922, pt. 92115",90919120,92,formula,-,CES9091912001,0,NA,NA
9480,923,90000000,92,formula,+,CES9000000001,0,NA,NA
9480,923,90919110,92,formula,-,CES9091911001,1,90910000,CES9091000001
9480,923,90919120,92,formula,-,CES9091912001,0,NA,NA
9490,"924, 925",90000000,92,formula,+,CES9000000001,0,NA,NA
9490,"924, 925",90919110,92,formula,-,CES9091911001,1,90910000,CES9091000001
9490,"924, 925",90919120,92,formula,-,CES9091912001,0,NA,NA
9570,"926, 927",90000000,92,formula,+,CES9000000001,0,NA,NA
9570,"926, 927",90919110,92,formula,-,CES9091911001,1,90910000,CES9091000001
9570,"926, 927",90919120,92,formula,-,CES9091912001,0,NA,NA
9590,928,90000000,92,formula,+,CES9000000001,0,NA,NA
9590,928,90919110,92,formula,-,CES9091911001,1,90910000,CES9091000001
9590,928,90919120,92,formula,-,CES9091912001,0,NA,NA
