cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,max,tmax,total_workers_employed,worker_job_loss_rate
13140,"Beaumont-Port Arthur, TX",9538,18.6,653.2,39.3,1465.8,562.6,286.2,458.4,188.8,64.1,-54,118.2,44.8,78.3,286.1,945.3,1050.9,537.7,2208.9,487.5,96.8,5000,100,165252,0.05772
13180,"Beaver Dam, WI",2982,2,9.6,0.7,69.4,638.2,92.6,98.9,-23.2,49.1,22.7,14.8,37.8,34.8,171.4,175.6,272.7,224.3,719.3,142.7,228.4,750,100,43771,0.06813
13220,"Beckley, WV",1471,2.2,135.9,7.2,-8.9,8.7,83.5,69.4,19.7,31.9,28.2,53.3,45.5,36.2,20.4,-366.5,279.8,10.4,917.5,36.3,60.9,1000,100,39406,0.03734
13260,"Bedford, IN",766,0.3,6.1,-0,47.7,259.9,16.4,-34.4,18.9,16.6,7.9,8.4,-2,1,-22.5,126.3,130.8,-0.4,125.6,32.4,26.8,500,100,18881,0.04056
13300,"Beeville, TX",685,0,149.9,2.4,54.4,16.4,16,-5.6,10.1,8,-2.5,4.7,3.5,6.3,13.7,82.9,96.9,25.7,164.5,26.6,10.6,250,100,10433,0.06562
13340,"Bellefontaine, OH",1643,0.2,4.8,2.6,58,423.7,48.8,25.4,69.8,4.7,5.8,20.9,42.7,8.4,156.8,187.3,129.1,64.9,335.2,17.8,36.2,500,100,21054,0.07805
13380,"Bellingham, WA",7102,4,15.3,0.6,442.4,641.8,92.3,74.7,178.3,109.8,28.1,-6,72.3,33.9,25.9,764.6,532.3,1266.8,2114.2,498.5,211.5,5000,150,90240,0.0787
13420,"Bemidji, MN",1660,6.6,7.9,-1.8,53.2,95,9.8,-90.3,35.1,24.5,1.6,14,18.9,4.1,3,272.7,244.8,217.6,525.7,59.5,157.5,750,100,19271,0.08612
13460,"Bend-Redmond, OR",6841,2.8,16.9,2,396.3,437.7,69.4,189.2,114.1,316.4,31.1,69.2,225.6,67.6,198.1,585.3,317.2,931.9,2482,224.3,164.2,5000,200,77525,0.08824
13500,"Bennettsville, SC",422,0,-0.5,0.6,9.8,86.1,10.4,11.8,-14,2.2,-4,3.9,4.9,0.7,20.3,4.1,68.8,16.6,182.4,-4,22,250,100,9964,0.04236
